"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"measured","52","1052","1","nlohmann-2.0.0","2026-09-03T13:37:08.7798340Z","2026-09-03T13:37:10.1899786Z","1410.145","42889216","13","0","standard-only","0"
"measured","52","1052","2","rapidjson-1.9.5","2026-09-03T13:37:10.7284407Z","2026-09-03T13:37:11.9632422Z","1234.802","42561536","13","0","standard-only","0"
"measured","53","1053","1","rapidjson-1.9.5","2026-09-03T13:37:12.7384499Z","2026-09-03T13:37:13.9755746Z","1237.125","42434560","13","0","standard-only","0"
"measured","53","1053","2","nlohmann-2.0.0","2026-09-03T13:37:14.4617848Z","2026-09-03T13:37:15.9120114Z","1450.227","42872832","13","0","standard-only","0"
"measured","54","1054","1","nlohmann-2.0.0","2026-09-03T13:37:16.4076625Z","2026-09-03T13:37:17.8580778Z","1450.415","42762240","13","0","standard-only","0"
"measured","54","1054","2","rapidjson-1.9.5","2026-09-03T13:37:18.3775260Z","2026-09-03T13:37:19.6469426Z","1269.417","42479616","13","0","standard-only","0"
"measured","55","1055","1","rapidjson-1.9.5","2026-09-03T13:37:20.1519421Z","2026-09-03T13:37:21.3993062Z","1247.364","42323968","13","0","standard-only","0"
"measured","55","1055","2","nlohmann-2.0.0","2026-09-03T13:37:21.9322610Z","2026-09-03T13:37:23.3489459Z","1416.685","42770432","13","0","standard-only","0"
"measured","56","1056","1","nlohmann-2.0.0","2026-09-03T13:37:24.0289075Z","2026-09-03T13:37:25.4389573Z","1410.05","40427520","13","0","standard-only","0"
"measured","56","1056","2","rapidjson-1.9.5","2026-09-03T13:37:25.9602645Z","2026-09-03T13:37:27.2577337Z","1297.469","40022016","13","0","standard-only","0"
"measured","57","1057","1","rapidjson-1.9.5","2026-09-03T13:37:27.7772730Z","2026-09-03T13:37:29.0975110Z","1320.238","42516480","13","0","standard-only","0"
"measured","57","1057","2","nlohmann-2.0.0","2026-09-03T13:37:29.6306596Z","2026-09-03T13:37:31.1168248Z","1486.165","42917888","13","0","standard-only","0"
"measured","58","1058","1","nlohmann-2.0.0","2026-09-03T13:37:31.7135733Z","2026-09-03T13:37:33.4249000Z","1711.327","42852352","13","0","standard-only","0"
"measured","58","1058","2","rapidjson-1.9.5","2026-09-03T13:37:33.9480506Z","2026-09-03T13:37:35.2387143Z","1290.664","42442752","13","0","standard-only","0"
"measured","59","1059","1","rapidjson-1.9.5","2026-09-03T13:37:35.7631433Z","2026-09-03T13:37:37.0615776Z","1298.434","42487808","13","0","standard-only","0"
"measured","59","1059","2","nlohmann-2.0.0","2026-09-03T13:37:37.6859610Z","2026-09-03T13:37:39.1831130Z","1497.152","42852352","13","0","standard-only","0"
"measured","60","1060","1","nlohmann-2.0.0","2026-09-03T13:37:40.0637693Z","2026-09-03T13:37:41.5334049Z","1469.636","42872832","13","0","standard-only","0"
"measured","60","1060","2","rapidjson-1.9.5","2026-09-03T13:37:42.0416319Z","2026-09-03T13:37:43.4315897Z","1389.958","42381312","13","0","standard-only","0"
